player_name,player_id,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG,POSITION
DJ Moore,00-0034827,WR50,139,WR49,123,WR50,134,WR
Devontae Booker,00-0032972,RB56,140,RB48,139,RB46,130,RB
Giovani Bernard,00-0030456,RB47,141,RB50,148,RB53,152,RB
Dak Prescott,00-0033077,QB20,142,QB20,154,QB19,143,QB
Justin Tucker,00-0029597,K3,143,K3,152,K3,145,K
Bilal Powell,00-0028064,RB48,144,RB49,143,RB51,146,RB
Latavius Murray,00-0030513,RB49,145,RB43,125,RB48,136,RB
Michael Gallup,00-0034764,WR51,146,WR52,147,WR52,148,WR
Kenny Golladay,00-0033932,WR52,147,WR50,134,WR53,150,WR
Corey Clement,00-0033725,RB50,148,RB45,128,RB49,139,RB
Alfred Morris,00-0029141,RB51,149,RB56,176,RB45,127,RB
OJ Howard,00-0033879,TE15,150,TE15,159,TE15,154,TE
Josh Doctson,00-0032760,WR53,151,WR58,166,WR54,153,WR
Tyler Lockett,00-0032211,WR54,152,WR53,151,WR55,156,WR
Alex Erickson,00-0032543,WR94,153,WR69,160,,,WR
Denver Broncos,DEN,DST8,154,DST8,149,DST8,149,DST
Cameron Meredith,00-0031912,WR55,155,WR51,137,WR64,151,WR
Theo Riddick,00-0030107,RB52,156,RB58,145,RB61,164,RB
Marqise Lee,00-0031431,WR70,157,WR62,114,WR75,159,WR
Mohamed Sanu,00-0029632,WR63,158,WR59,167,WR56,158,WR
Ryan Switzer,00-0033562,WR96,159,WR72,165,,,WR
Austin Seferian-Jenkins,00-0031418,TE16,160,TE17,182,TE18,170,TE
Dez Bryant,00-0027902,WR64,161,WR61,113,WR72,155,WR
LeGarrette Blount,00-0027325,RB53,162,RB46,130,RB52,147,RB
Rishard Matthews,00-0029580,WR65,163,WR60,169,WR60,179,WR
New Orleans Saints,NO,DST9,164,DST9,155,DST9,160,DST
D'Onta Foreman,00-0033925,RB58,165,RB52,157,RB58,182,RB
Jameis Winston,00-0031503,QB22,166,QB21,172,QB21,161,QB
Jordan Wilkins,00-0034400,RB54,167,RB55,175,RB54,157,RB
