player_id,player_full_name,player_name,POSITION,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG
00-0036040,Juwan Johnson,J.Johnson,TE,TE15,147.3,TE19,180.3,TE17,160.5
00-0029263,Russell Wilson,R.Wilson,QB,QB18,148,QB21,170.7,QB18,152
00-0034960,Jakobi Meyers,J.Meyers,WR,WR52,150,WR59,172,WR58,163.5
00-0036980,Elijah Moore,E.Moore,WR,WR53,151,WR45,117.3,WR49,121
00-0036550,Rashod Bateman,R.Bateman,WR,WR54,152,WR50,138,WR54,151
88-8888888,New Orleans Saints,N.Orleans Saints,DS,DST10,154,DST10,188.7,DST8,175.5
00-0033948,Jameson Williams2,J.Williams2,WR,WR55,154,WR55,157.7,WR55,152
00-0037809,Chig Okonkwo,C.Okonkwo,TE,TE16,154.5,TE14,145.7,TE15,144.5
00-0026858,Graham Gano,G.Gano,K,K8,155.3,K13,220,K13,220.5
00-0033009,Tyler Boyd,T.Boyd,WR,WR56,156,WR58,168.3,WR59,163.5
00-0025565,Nick Folk,N.Folk,K,K15,159,K16,162,,
00-0035250,Devin Singletary,D.Singletary,RB,RB45,159.3,RB51,159.7,RB53,161.5
00-0037263,Tyler Allgeier,T.Allgeier,RB,RB46,160,RB49,149.7,RB48,138.5
00-0033787,Jake Elliott,J.Elliott,K,K9,161,K8,187,K8,183.5
00-0033895,Gerald Everett,G.Everett,TE,TE17,162,TE20,194.7,TE20,190
00-0037228,Jaylen Warren,J.Warren,RB,RB47,162.8,RB46,134.7,RB43,121.5
00-0031280,Derek Carr,D.Carr,QB,QB19,163.3,QB23,175,QB19,156
00-0035657,Damien Harris,D.Harris,RB,RB48,164.5,RB41,123.3,RB45,125.5
00-0038938,Jalin Hyatt,J.Hyatt,WR,WR57,166.3,WR56,161.3,WR56,159
88-8888888,Kansas City Chiefs,K.City Chiefs,DS,DST11,166.5,DST15,216.7,DST15,215.5
00-0037834,Brock Purdy,B.Purdy,QB,QB20,167,QB19,159.7,QB20,159.5
00-0038102,Kenny Pickett,K.Pickett,QB,QB21,168.3,QB18,154,QB21,162
00-0039065,Sam LaPorta,S.LaPorta,TE,TE18,168.3,TE17,166.3,TE16,152.5
00-0038555,Tank Bigsby,T.Bigsby,RB,RB49,169.8,RB47,141.7,RB46,130
00-0033925,D'Onta Foreman,D.Foreman,RB,RB53,170.7,RB52,165,RB49,149.5
00-0034115,Jeff Wilson,J.Wilson,RB,RB54,172.3,RB67,216.5,RB72,236
00-0033891,Zay Jones,Z.Jones,WR,WR58,173.3,WR62,178.7,WR64,182.5
00-0036309,Darnell Mooney,D.Mooney,WR,WR59,174,WR63,179.7,WR61,170.5
00-0036554,Nico Collins,N.Collins,WR,WR60,174,WR57,162.3,WR57,162.5
00-0037252,Greg Dulcich,G.Dulcich,TE,TE19,176,TE16,158,TE18,170
00-0038551,Kendre Miller,K.Miller,RB,RB55,177.3,RB54,176,RB56,169
00-0026498,Matthew Stafford,M.Stafford,QB,QB22,178.8,QB27,192,QB25,189
88-8888888,Washington Commanders,W.Commanders,DS,DST12,179.8,DST12,201.7,DST10,181.5
00-0029621,Greg Zuerlein,G.Zuerlein,K,K13,180,K15,227,K12,202.5
00-0038622,Deuce Vaughn,D.Vaughn,RB,RB50,180,RB50,156.3,RB54,161.5
00-0037816,Romeo Doubs,R.Doubs,WR,WR61,180.3,WR54,154.3,WR53,145.5
88-8888888,Cincinnati Bengals,C.Bengals,DS,DST13,180.8,DST16,225.7,DST16,222.5
00-0039150,Bryce Young,B.Young,QB,QB23,183.3,QB20,163,QB23,177.5
00-0036493,Deon Jackson,D.Jackson,RB,RB57,183.7,RB58,183,RB57,172
00-0036936,Rondale Moore,R.Moore,WR,WR62,184.5,WR66,174,WR66,188
00-0039067,Rashee Rice,R.Rice,WR,WR68,185.3,WR60,172.7,WR62,174.5
88-8888888,Green Bay Packers,G.Bay Packers,DS,DST14,187.3,DST17,231.7,DST17,226
00-0036919,Kenneth Gainwell,K.Gainwell,RB,RB51,187.5,RB48,147,RB51,157
00-0036264,Jordan Love,J.Love,QB,QB24,189,QB22,171,QB22,163
00-0034764,Michael Gallup,M.Gallup,WR,WR63,190,WR64,185,WR69,204
00-0030578,Cordarrelle Patterson,C.Patterson,RB,RB58,190.3,RB60,188,RB63,205.5
00-0039062,Jonathan Mingo,J.Mingo,WR,WR64,190.3,WR68,178.5,WR63,182
00-0037224,Cameron Dicker,C.Dicker,K,K10,190.5,K7,179.3,K10,193.5
00-0036415,Van Jefferson,V.Jefferson,WR,WR77,191,WR69,180,WR65,185
00-0035689,Dawson Knox,D.Knox,TE,TE20,191.8,TE23,204,TE26,228.5
00-0036345,K.J. Osborn,K.Osborn,WR,WR65,192.3,WR70,190,WR68,200.5
00-0037840,Kyren Williams,K.Williams,RB,RB72,193,RB71,196,RB71,196
00-0035269,Matt Gay,M.Gay,K,K11,193.8,K14,227.3,K15,233.5
00-0036233,Donovan Peoples-Jones,D.Peoples-Jones,WR,WR70,194.3,WR67,177,WR67,190.5
88-8888888,Jacksonville Jaguars,J.Jaguars,DS,DST15,194.5,DST13,209,DST12,199.5
00-0039021,Roschon Johnson,R.Johnson,RB,RB52,195,RB53,167.3,RB50,154
00-0029822,Brandon McManus,B.McManus,K,K12,196.5,K10,204,K9,186
00-0034794,Jason Sanders,J.Sanders,K,K14,197.3,K11,206,K11,201
88-8888888,Los Angeles Chargers,L.Angeles Chargers,DS,DST22,197.5,DST27,272,DST21,250.5
00-0038951,Sean Tucker,S.Tucker,RB,RB73,198,RB72,207,RB67,217
88-8888888,Carolina Panthers,C.Panthers,DS,DST23,198,DST26,237,,
00-0030061,Zach Ertz,Z.Ertz,TE,TE21,198.8,TE24,204.3,TE27,233.5
88-8888888,Denver Broncos,D.Broncos,DS,DST16,198.8,DST9,178.7,DST14,208
88-8888888,Detroit Lions,D.Lions,DS,DST24,199,DST23,258,DST24,283
88-8888888,Cleveland Browns,C.Browns,DS,DST17,199.8,DST20,227.5,DST19,239.5
88-8888888,Seattle Seahawks,S.Seahawks,DS,DST18,200,DST14,211.7,DST13,206.5
00-0034777,DJ Chark,D.Chark,WR,WR66,200.3,WR65,205.3,WR75,226.5
00-0037077,Sam Howell,S.Howell,QB,QB25,200.3,QB28,200.7,QB24,187
00-0039144,Luke Musgrave,L.Musgrave,TE,TE22,200.8,TE18,178.7,TE19,179.5
00-0035228,Kyler Murray,K.Murray,QB,QB26,201.5,QB29,206,QB27,199.5
00-0036816,Riley Patterson,R.Patterson,K,K19,201.5,K22,257.5,K16,247
00-0036360,Clyde Edwards-Helaire,C.Edwards-Helaire,RB,RB61,201.7,RB59,184,RB61,202.5
00-0036251,Zack Moss,Z.Moss,RB,RB64,203.5,RB66,205,RB59,193.5
00-0036555,Chuba Hubbard,C.Hubbard,RB,RB62,206,RB55,176.7,RB58,178.5
00-0039032,Tyjae Spears,T.Spears,RB,RB63,207.7,RB57,179.7,RB55,168
00-0033357,Taysom Hill2,T.Hill2,TE,TE23,207.8,TE21,196,TE21,202.5
00-0037276,Ty Chandler,T.Chandler,RB,RB65,208.5,RB64,199.5,RB65,211.5
00-0031203,Cairo Santos,C.Santos,K,K27,209,,,,
00-0038040,Zamir White,Z.White,RB,RB66,209.5,RB62,202.7,RB64,208
00-0034272,Marquez Valdes-Scantling,M.Valdes-Scantling,WR,WR67,210.5,WR75,215.5,WR72,214
