player_id,player_full_name,POSITION,player_name,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG
00-0030431,Robert Woods,WR,R.Woods,WR18,46,WR21,50.7,WR20,51.3
00-0034348,Courtland Sutton,WR,C.Sutton,WR19,46.5,WR19,50.7,WR21,55.3
00-0030279,Keenan Allen1,WR,K.Allen1,WR20,50.5,WR20,50.7,WR22,56.3
00-0032211,Tyler Lockett,WR,T.Lockett,WR21,51,WR18,50,WR19,49.7
00-0035640,DK Metcalf,WR,D.Metcalf,WR22,51.3,WR22,51.3,WR18,49
00-0035250,Devin Singletary,RB,D.Singletary,RB22,53.8,RB24,57,RB25,54.3
00-0033077,Dak Prescott,QB,D.Prescott,QB3,53.8,QB3,50.7,QB3,47
00-0034777,DJ Chark,WR,D.Chark,WR23,54.3,WR24,51.7,WR24,57.3
00-0031687,Raheem Mostert,RB,R.Mostert,RB23,54.8,RB23,51.7,RB24,45.3
00-0036414,Cam Akers,RB,C.Akers,RB24,54.8,RB25,59.7,RB26,59.3
00-0027966,Mark Ingram,RB,M.Ingram,RB25,55,RB22,46,RB22,42
00-0035659,Terry McLaurin,WR,T.McLaurin,WR24,56.8,WR23,51.7,WR25,59.7
00-0029608,T.Y. Hilton,WR,T.Hilton,WR25,57,WR25,58.7,WR27,61.3
00-0031610,Darren Waller,TE,D.Waller,TE5,57.3,TE5,58.7,TE5,63.3
00-0033923,Kareem Hunt,RB,K.Hunt,RB26,58,RB28,65.7,RB28,65.3
00-0035228,Kyler Murray,QB,K.Murray,QB4,58.5,QB5,58.3,QB6,58
00-0033537,Deshaun Watson,QB,D.Watson,QB5,59,QB6,60.7,QB4,50.3
00-0033856,Leonard Fournette,RB,L.Fournette,RB27,59.3,RB26,60.7,RB20,41.3
00-0029263,Russell Wilson,QB,R.Wilson,QB6,59.5,QB4,55.7,QB5,51.7
00-0031547,DeVante Parker,WR,D.Parker,WR26,62.3,WR26,61.3,WR26,60.7
00-0031588,Stefon Diggs,WR,S.Diggs,WR27,63,WR27,63.3,WR23,57.3
00-0035685,David Montgomery,RB,D.Montgomery,RB28,63.8,RB29,65.7,RB27,62
00-0036275,D'Andre Swift,RB,D.Swift,RB29,65.8,RB27,65,RB29,68.3
00-0035662,Marquise Brown2,WR,M.Brown2,WR28,69.8,WR28,72,WR29,70.7
00-0027942,A.J. Green,WR,A.Green,WR29,70,WR30,74.3,WR28,65.3
00-0031382,Jarvis Landry,WR,J.Landry,WR30,73,WR32,81.3,WR31,76.3
00-0033881,Evan Engram,TE,E.Engram,TE6,73.5,TE6,79.3,TE7,78.7
00-0033009,Tyler Boyd,WR,T.Boyd,WR31,73.8,WR31,77,WR33,81.3
00-0034764,Michael Gallup,WR,M.Gallup,WR32,74.8,WR29,73.7,WR30,72.3
00-0033127,William Fuller,WR,W.Fuller,WR33,75.5,WR33,82,WR32,81
00-0027150,Julian Edelman,WR,J.Edelman,WR34,76,WR34,84,WR34,81.7
00-0027656,Rob Gronkowski,TE,R.Gronkowski,TE7,78.8,TE8,80,TE6,73.3
00-0031062,James White,RB,J.White,RB30,80.8,RB34,94.7,RB37,98.3
00-0019596,Tom Brady,QB,T.Brady,QB7,81.5,QB11,92,QB10,82.3
00-0033110,Tyler Higbee,TE,T.Higbee,TE8,83.5,TE7,79.7,TE10,102
00-0020531,Drew Brees,QB,D.Brees,QB8,83.8,QB8,79.3,QB7,73
00-0026143,Matt Ryan,QB,M.Ryan,QB9,84.8,QB7,76.7,QB8,79
00-0035719,Deebo Samuel,WR,D.Samuel,WR35,85.3,WR35,86.7,WR36,83
00-0036158,J.K. Dobbins,RB,J.Dobbins,RB31,85.8,RB31,85,RB31,82.7
00-0033090,Hunter Henry,TE,H.Henry,TE9,86.5,TE9,81,TE8,83.7
00-0033556,Tarik Cohen,RB,T.Cohen,RB32,86.5,RB40,112,RB42,113
00-0031236,Brandin Cooks,WR,B.Cooks,WR36,87.5,WR36,93.7,WR35,82.3
00-0034816,Ronald Jones,RB,R.Jones,RB33,88.5,RB30,80,RB30,81.7
00-0034109,Phillip Lindsay,RB,P.Lindsay,RB34,88.8,RB33,93.3,RB36,92.3
00-0029293,Marvin Jones,WR,M.Jones,WR37,90,WR37,93.7,WR37,91
